Name	Length	Count
D06-NF-R1	1000	89108
D06-NF-R1	1100	97725
D06-NF-R1	1200	104035
D06-NF-R1	1300	108865
D06-NF-R1	1400	110097
D06-NF-R1	1500	109606
D06-NF-R1	1600	106524
D06-NF-R1	1700	101682
D06-NF-R1	1800	97199
D06-NF-R1	1900	90706
D06-NF-R1	2000	84999
D06-NF-R1	2100	79589
D06-NF-R1	2200	74193
D06-NF-R1	2300	68711
D06-NF-R1	2400	64244
D06-NF-R1	2500	60103
D06-NF-R1	2600	56316
D06-NF-R1	2700	52901
D06-NF-R1	2800	49895
D06-NF-R1	2900	46838
D06-NF-R1	3000	44819
D06-NF-R1	3100	43662
D06-NF-R1	3200	42130
D06-NF-R1	3300	42021
D06-NF-R1	3400	42116
D06-NF-R1	3500	42834
D06-NF-R1	3600	44612
D06-NF-R1	3700	45207
D06-NF-R1	3800	46578
D06-NF-R1	3900	48445
D06-NF-R1	4000	50541
D06-NF-R1	4100	52353
D06-NF-R1	4200	55500
D06-NF-R1	4300	59969
D06-NF-R1	4400	55616
D06-NF-R1	4500	56668
D06-NF-R1	4600	57184
D06-NF-R1	4700	58163
D06-NF-R1	4800	59556
D06-NF-R1	4900	60432
D06-NF-R1	5000	58570
D06-NF-R1	5100	56774
D06-NF-R1	5200	56616
D06-NF-R1	5300	55824
D06-NF-R1	5400	65817
D06-NF-R1	5500	56132
D06-NF-R1	5600	58354
D06-NF-R1	5700	51102
D06-NF-R1	5800	49858
D06-NF-R1	5900	49040
D06-NF-R1	6000	47208
D06-NF-R1	6100	46180
D06-NF-R1	6200	44225
D06-NF-R1	6300	44209
D06-NF-R1	6400	42336
D06-NF-R1	6500	40083
D06-NF-R1	6600	38850
D06-NF-R1	6700	37708
D06-NF-R1	6800	36274
D06-NF-R1	6900	34662
D06-NF-R1	7000	33159
D06-NF-R1	7100	31703
D06-NF-R1	7200	30611
D06-NF-R1	7300	29582
D06-NF-R1	7400	28233
D06-NF-R1	7500	26980
D06-NF-R1	7600	25657
D06-NF-R1	7700	24701
D06-NF-R1	7800	23557
D06-NF-R1	7900	22588
D06-NF-R1	8000	21607
D06-NF-R1	8100	20615
D06-NF-R1	8200	19617
D06-NF-R1	8300	18545
D06-NF-R1	8400	17645
D06-NF-R1	8500	17113
D06-NF-R1	8600	16238
D06-NF-R1	8700	15533
D06-NF-R1	8800	14775
D06-NF-R1	8900	14515
D06-NF-R1	9000	13156
D06-NF-R1	9100	12334
D06-NF-R1	9200	11831
D06-NF-R1	9300	11063
D06-NF-R1	9400	10757
D06-NF-R1	9500	9814
D06-NF-R1	9600	9352
D06-NF-R1	9700	8836
D06-NF-R1	9800	8398
D06-NF-R1	9900	7840
D06-NF-R1	10000	7488
D06-NF-R1	10100	7135
D06-NF-R1	10200	6718
D06-NF-R1	10300	6395
D06-NF-R1	10400	5932
