Name	Length	Count
D10-NF-R1	1000	75649
D10-NF-R1	1100	84634
D10-NF-R1	1200	90353
D10-NF-R1	1300	95593
D10-NF-R1	1400	97048
D10-NF-R1	1500	96844
D10-NF-R1	1600	95433
D10-NF-R1	1700	91619
D10-NF-R1	1800	87872
D10-NF-R1	1900	82772
D10-NF-R1	2000	77457
D10-NF-R1	2100	72388
D10-NF-R1	2200	67615
D10-NF-R1	2300	63254
D10-NF-R1	2400	58962
D10-NF-R1	2500	54755
D10-NF-R1	2600	51302
D10-NF-R1	2700	48562
D10-NF-R1	2800	46250
D10-NF-R1	2900	44039
D10-NF-R1	3000	42287
D10-NF-R1	3100	41520
D10-NF-R1	3200	41028
D10-NF-R1	3300	40912
D10-NF-R1	3400	42027
D10-NF-R1	3500	43426
D10-NF-R1	3600	45224
D10-NF-R1	3700	46943
D10-NF-R1	3800	49300
D10-NF-R1	3900	51542
D10-NF-R1	4000	54435
D10-NF-R1	4100	59598
D10-NF-R1	4200	56503
D10-NF-R1	4300	56400
D10-NF-R1	4400	56863
D10-NF-R1	4500	58132
D10-NF-R1	4600	58789
D10-NF-R1	4700	58916
D10-NF-R1	4800	59177
D10-NF-R1	4900	64358
D10-NF-R1	5000	57640
D10-NF-R1	5100	58276
D10-NF-R1	5200	54821
D10-NF-R1	5300	53155
D10-NF-R1	5400	52066
D10-NF-R1	5500	51226
D10-NF-R1	5600	49356
D10-NF-R1	5700	48117
D10-NF-R1	5800	47496
D10-NF-R1	5900	47118
D10-NF-R1	6000	49964
D10-NF-R1	6100	42609
D10-NF-R1	6200	41149
D10-NF-R1	6300	41281
D10-NF-R1	6400	38838
D10-NF-R1	6500	36785
D10-NF-R1	6600	35199
D10-NF-R1	6700	33663
D10-NF-R1	6800	32269
D10-NF-R1	6900	31405
D10-NF-R1	7000	29704
D10-NF-R1	7100	28834
D10-NF-R1	7200	27529
D10-NF-R1	7300	26471
D10-NF-R1	7400	24837
D10-NF-R1	7500	23804
D10-NF-R1	7600	22591
D10-NF-R1	7700	21857
D10-NF-R1	7800	20558
D10-NF-R1	7900	19507
D10-NF-R1	8000	18841
D10-NF-R1	8100	17744
D10-NF-R1	8200	16810
D10-NF-R1	8300	16013
D10-NF-R1	8400	15091
D10-NF-R1	8500	14328
D10-NF-R1	8600	13546
D10-NF-R1	8700	12586
D10-NF-R1	8800	11949
D10-NF-R1	8900	11386
