Name	Length	Count
D01-NF-R1	1000	76491
D01-NF-R1	1100	84014
D01-NF-R1	1200	90403
D01-NF-R1	1300	94915
D01-NF-R1	1400	97390
D01-NF-R1	1500	97927
D01-NF-R1	1600	96402
D01-NF-R1	1700	93138
D01-NF-R1	1800	89346
D01-NF-R1	1900	84649
D01-NF-R1	2000	79970
D01-NF-R1	2100	74782
D01-NF-R1	2200	69270
D01-NF-R1	2300	64970
D01-NF-R1	2400	61004
D01-NF-R1	2500	56446
D01-NF-R1	2600	53137
D01-NF-R1	2700	49958
D01-NF-R1	2800	47056
D01-NF-R1	2900	44533
D01-NF-R1	3000	42499
D01-NF-R1	3100	41429
D01-NF-R1	3200	40304
D01-NF-R1	3300	40394
D01-NF-R1	3400	40684
D01-NF-R1	3500	41436
D01-NF-R1	3600	43150
D01-NF-R1	3700	44873
D01-NF-R1	3800	47643
D01-NF-R1	3900	49028
D01-NF-R1	4000	51362
D01-NF-R1	4100	55857
D01-NF-R1	4200	55205
D01-NF-R1	4300	55976
D01-NF-R1	4400	56905
D01-NF-R1	4500	57536
D01-NF-R1	4600	58172
D01-NF-R1	4700	59813
D01-NF-R1	4800	58099
D01-NF-R1	4900	57945
D01-NF-R1	5000	57948
D01-NF-R1	5100	58076
D01-NF-R1	5200	59065
D01-NF-R1	5300	57857
D01-NF-R1	5400	56141
D01-NF-R1	5500	53557
D01-NF-R1	5600	52554
D01-NF-R1	5700	51463
D01-NF-R1	5800	49415
D01-NF-R1	5900	48772
D01-NF-R1	6000	47081
D01-NF-R1	6100	44539
D01-NF-R1	6200	43128
D01-NF-R1	6300	41857
D01-NF-R1	6400	41919
D01-NF-R1	6500	38586
D01-NF-R1	6600	36759
D01-NF-R1	6700	35201
D01-NF-R1	6800	35019
D01-NF-R1	6900	33016
D01-NF-R1	7000	31015
D01-NF-R1	7100	29462
D01-NF-R1	7200	27912
D01-NF-R1	7300	26841
D01-NF-R1	7400	25515
D01-NF-R1	7500	24308
D01-NF-R1	7600	23058
D01-NF-R1	7700	21789
D01-NF-R1	7800	21628
D01-NF-R1	7900	19935
D01-NF-R1	8000	18772
D01-NF-R1	8100	17776
D01-NF-R1	8200	16659
D01-NF-R1	8300	15968
D01-NF-R1	8400	15069
D01-NF-R1	8500	14371
D01-NF-R1	8600	13465
D01-NF-R1	8700	12641
D01-NF-R1	8800	11766
D01-NF-R1	8900	11846
D01-NF-R1	9000	10658
D01-NF-R1	9100	9741
D01-NF-R1	9200	9092
D01-NF-R1	9300	8742
D01-NF-R1	9400	8239
D01-NF-R1	9500	7561
D01-NF-R1	9600	7211
D01-NF-R1	9700	6784
D01-NF-R1	9800	6286
D01-NF-R1	9900	5719
D01-NF-R1	10000	5296
D01-NF-R1	10100	5031
D01-NF-R1	10200	4827
D01-NF-R1	10300	4383
D01-NF-R1	10400	3983
D01-NF-R1	10500	3727
D01-NF-R1	10600	3485
D01-NF-R1	10700	3325
D01-NF-R1	10800	3036
D01-NF-R1	10900	2791
D01-NF-R1	11000	2581
D01-NF-R1	11100	2448
D01-NF-R1	11200	2148
D01-NF-R1	11300	2105
D01-NF-R1	11400	1858
D01-NF-R1	11500	1644
D01-NF-R1	11600	1522
D01-NF-R1	11700	1438
D01-NF-R1	11800	1366
D01-NF-R1	11900	1183
D01-NF-R1	12000	1185
D01-NF-R1	12100	1035
D01-NF-R1	12200	1004
D01-NF-R1	12300	905
D01-NF-R1	12400	781
D01-NF-R1	12500	697
D01-NF-R1	12600	593
D01-NF-R1	12700	617
D01-NF-R1	12800	541
D01-NF-R1	12900	531
D01-NF-R1	13000	455
D01-NF-R1	13100	411
D01-NF-R1	13200	387
D01-NF-R1	13300	322
D01-NF-R1	13400	337
D01-NF-R1	13500	342
D01-NF-R1	13600	260
D01-NF-R1	13700	217
D01-NF-R1	13800	221
D01-NF-R1	13900	177
D01-NF-R1	14000	190
D01-NF-R1	14100	155
D01-NF-R1	14200	138
D01-NF-R1	14300	136
D01-NF-R1	14400	115
D01-NF-R1	14500	95
D01-NF-R1	14600	96
D01-NF-R1	14700	92
D01-NF-R1	14800	70
D01-NF-R1	14900	67
D01-NF-R1	15000	61
D01-NF-R1	15100	61
D01-NF-R1	15200	46
D01-NF-R1	15300	48
D01-NF-R1	15400	41
D01-NF-R1	15500	25
D01-NF-R1	15600	31
D01-NF-R1	15700	37
D01-NF-R1	15800	43
D01-NF-R1	15900	28
D01-NF-R1	16000	38
D01-NF-R1	16100	18
D01-NF-R1	16200	27
D01-NF-R1	16300	10
D01-NF-R1	16400	20
D01-NF-R1	16500	17
D01-NF-R1	16600	11
D01-NF-R1	16700	11
D01-NF-R1	16800	11
D01-NF-R1	16900	6
D01-NF-R1	17000	3
D01-NF-R1	17100	7
D01-NF-R1	17200	6
D01-NF-R1	17300	5
D01-NF-R1	17400	6
D01-NF-R1	17500	7
D01-NF-R1	17600	5
D01-NF-R1	17700	6
D01-NF-R1	17800	5
D01-NF-R1	17900	3
D01-NF-R1	18000	4
D01-NF-R1	18100	4
D01-NF-R1	18200	6
D01-NF-R1	18300	3
D01-NF-R1	18400	4
D01-NF-R1	18600	1
D01-NF-R1	18700	1
D01-NF-R1	18800	1
D01-NF-R1	18900	3
D01-NF-R1	19000	1
D01-NF-R1	19100	3
D01-NF-R1	19200	2
D01-NF-R1	19400	1
D01-NF-R1	19500	2
D01-NF-R1	19600	1
D01-NF-R1	19700	1
D01-NF-R1	19900	2
D01-NF-R1	20000	2
D01-NF-R1	20200	1
D01-NF-R1	20300	2
D01-NF-R1	21200	1
D01-NF-R1	21700	1
D01-NF-R1	21800	1
D01-NF-R1	21900	1
D01-NF-R1	22000	1
D01-NF-R1	23000	1
D01-NF-R1	24100	1
