Name	Length	Count
D03-NF-R1	1000	66380
D03-NF-R1	1100	72476
D03-NF-R1	1200	77760
D03-NF-R1	1300	80564
D03-NF-R1	1400	81921
D03-NF-R1	1500	82320
D03-NF-R1	1600	81573
D03-NF-R1	1700	79480
D03-NF-R1	1800	75942
D03-NF-R1	1900	72632
D03-NF-R1	2000	68284
D03-NF-R1	2100	64662
D03-NF-R1	2200	60557
D03-NF-R1	2300	56697
D03-NF-R1	2400	52889
D03-NF-R1	2500	49514
D03-NF-R1	2600	46268
D03-NF-R1	2700	43776
D03-NF-R1	2800	41159
D03-NF-R1	2900	39519
D03-NF-R1	3000	37633
D03-NF-R1	3100	36208
D03-NF-R1	3200	34753
D03-NF-R1	3300	34349
D03-NF-R1	3400	34071
D03-NF-R1	3500	34049
D03-NF-R1	3600	35261
D03-NF-R1	3700	36466
D03-NF-R1	3800	37741
D03-NF-R1	3900	39621
D03-NF-R1	4000	40944
D03-NF-R1	4100	42576
D03-NF-R1	4200	44030
D03-NF-R1	4300	45070
D03-NF-R1	4400	45743
D03-NF-R1	4500	47552
D03-NF-R1	4600	47855
D03-NF-R1	4700	48569
D03-NF-R1	4800	48821
D03-NF-R1	4900	49108
D03-NF-R1	5000	52083
D03-NF-R1	5100	47681
D03-NF-R1	5200	47336
D03-NF-R1	5300	49375
D03-NF-R1	5400	46333
D03-NF-R1	5500	43740
D03-NF-R1	5600	43502
D03-NF-R1	5700	43185
D03-NF-R1	5800	41787
D03-NF-R1	5900	39895
D03-NF-R1	6000	40662
D03-NF-R1	6100	37621
D03-NF-R1	6200	36311
D03-NF-R1	6300	35369
D03-NF-R1	6400	33904
D03-NF-R1	6500	32962
D03-NF-R1	6600	32346
D03-NF-R1	6700	30565
D03-NF-R1	6800	29409
D03-NF-R1	6900	28213
D03-NF-R1	7000	27131
D03-NF-R1	7100	26058
D03-NF-R1	7200	25000
D03-NF-R1	7300	24284
D03-NF-R1	7400	23025
D03-NF-R1	7500	21710
D03-NF-R1	7600	20944
D03-NF-R1	7700	20048
D03-NF-R1	7800	18952
D03-NF-R1	7900	18247
D03-NF-R1	8000	17342
D03-NF-R1	8100	16632
D03-NF-R1	8200	15784
D03-NF-R1	8300	14886
D03-NF-R1	8400	14287
D03-NF-R1	8500	13498
D03-NF-R1	8600	13932
D03-NF-R1	8700	12434
D03-NF-R1	8800	11547
D03-NF-R1	8900	11142
D03-NF-R1	9000	10349
D03-NF-R1	9100	10053
D03-NF-R1	9200	9235
D03-NF-R1	9300	8914
D03-NF-R1	9400	8243
D03-NF-R1	9500	7777
D03-NF-R1	9600	7414
D03-NF-R1	9700	6997
D03-NF-R1	9800	6812
D03-NF-R1	9900	6371
D03-NF-R1	10000	5773
D03-NF-R1	10100	5459
D03-NF-R1	10200	5084
D03-NF-R1	10300	4771
D03-NF-R1	10400	4462
D03-NF-R1	10500	4231
D03-NF-R1	10600	4068
D03-NF-R1	10700	3698
D03-NF-R1	10800	3581
D03-NF-R1	10900	3316
D03-NF-R1	11000	3998
D03-NF-R1	11100	3061
D03-NF-R1	11200	2798
D03-NF-R1	11300	2501
D03-NF-R1	11400	2276
D03-NF-R1	11500	2212
D03-NF-R1	11600	2043
D03-NF-R1	11700	1843
D03-NF-R1	11800	1770
D03-NF-R1	11900	1604
D03-NF-R1	12000	1469
D03-NF-R1	12100	1402
D03-NF-R1	12200	1307
D03-NF-R1	12300	1226
D03-NF-R1	12400	1116
D03-NF-R1	12500	1015
D03-NF-R1	12600	949
D03-NF-R1	12700	843
D03-NF-R1	12800	850
D03-NF-R1	12900	809
D03-NF-R1	13000	694
D03-NF-R1	13100	606
D03-NF-R1	13200	656
D03-NF-R1	13300	529
D03-NF-R1	13400	471
D03-NF-R1	13500	445
D03-NF-R1	13600	443
D03-NF-R1	13700	374
D03-NF-R1	13800	374
D03-NF-R1	13900	321
D03-NF-R1	14000	285
D03-NF-R1	14100	284
D03-NF-R1	14200	260
D03-NF-R1	14300	238
