Name	Length	Count
D04-NF-R1	1000	93782
D04-NF-R1	1100	101663
D04-NF-R1	1200	106717
D04-NF-R1	1300	109717
D04-NF-R1	1400	110412
D04-NF-R1	1500	108514
D04-NF-R1	1600	103918
D04-NF-R1	1700	100475
D04-NF-R1	1800	95296
D04-NF-R1	1900	89737
D04-NF-R1	2000	83746
D04-NF-R1	2100	77650
D04-NF-R1	2200	72081
D04-NF-R1	2300	67797
D04-NF-R1	2400	63233
D04-NF-R1	2500	58373
D04-NF-R1	2600	55559
D04-NF-R1	2700	51608
D04-NF-R1	2800	48898
D04-NF-R1	2900	46715
D04-NF-R1	3000	44090
D04-NF-R1	3100	42299
D04-NF-R1	3200	41820
D04-NF-R1	3300	40850
D04-NF-R1	3400	40895
D04-NF-R1	3500	41713
D04-NF-R1	3600	42542
D04-NF-R1	3700	44124
D04-NF-R1	3800	46529
D04-NF-R1	3900	48491
D04-NF-R1	4000	50373
D04-NF-R1	4100	52369
D04-NF-R1	4200	53914
D04-NF-R1	4300	55083
D04-NF-R1	4400	57365
D04-NF-R1	4500	58134
D04-NF-R1	4600	59650
D04-NF-R1	4700	60266
D04-NF-R1	4800	59363
D04-NF-R1	4900	59049
D04-NF-R1	5000	59674
D04-NF-R1	5100	58154
D04-NF-R1	5200	58411
D04-NF-R1	5300	57478
D04-NF-R1	5400	56314
D04-NF-R1	5500	55839
D04-NF-R1	5600	54062
D04-NF-R1	5700	52257
D04-NF-R1	5800	51596
D04-NF-R1	5900	51014
D04-NF-R1	6000	48410
D04-NF-R1	6100	47324
D04-NF-R1	6200	45295
D04-NF-R1	6300	45340
D04-NF-R1	6400	43006
D04-NF-R1	6500	40669
D04-NF-R1	6600	39194
D04-NF-R1	6700	37472
D04-NF-R1	6800	35922
D04-NF-R1	6900	34875
D04-NF-R1	7000	33491
D04-NF-R1	7100	31932
D04-NF-R1	7200	30463
D04-NF-R1	7300	29171
D04-NF-R1	7400	28406
D04-NF-R1	7500	26894
D04-NF-R1	7600	25905
D04-NF-R1	7700	24255
D04-NF-R1	7800	23232
D04-NF-R1	7900	22289
D04-NF-R1	8000	22017
D04-NF-R1	8100	20261
D04-NF-R1	8200	19324
D04-NF-R1	8300	18237
