Method	n	meanassemblylength	assemblylengthse	meanN50	N50se
Infinity1	10	39.5312469	0.792382053981446	1671.1431	173.564253919115
Infinity2	10	39.5310827	1.21601540467844	1618.5145	137.192627614788
Nanopore	10	39.2124935	1.09010872589171	3333.0217	174.927040655942
Shortread	10	46.3462579	0.0354057156981593	124.9727	0.959792605491182
