Name	Length	Count
D02-NF-R2	0	1221
D02-NF-R2	100	284655
D02-NF-R2	200	454072
D02-NF-R2	300	282706
D02-NF-R2	400	237617
D02-NF-R2	500	219560
D02-NF-R2	600	201829
D02-NF-R2	700	177790
D02-NF-R2	800	152858
D02-NF-R2	900	129652
D02-NF-R2	1000	110396
D02-NF-R2	1100	93052
D02-NF-R2	1200	80642
D02-NF-R2	1300	69875
D02-NF-R2	1400	61741
D02-NF-R2	1500	54429
D02-NF-R2	1600	48747
D02-NF-R2	1700	43246
D02-NF-R2	1800	39208
D02-NF-R2	1900	35711
D02-NF-R2	2000	32321
D02-NF-R2	2100	29693
D02-NF-R2	2200	27783
D02-NF-R2	2300	25471
D02-NF-R2	2400	23880
D02-NF-R2	2500	22404
D02-NF-R2	2600	20351
D02-NF-R2	2700	19281
D02-NF-R2	2800	18021
D02-NF-R2	2900	16997
D02-NF-R2	3000	15967
D02-NF-R2	3100	15548
D02-NF-R2	3200	14505
D02-NF-R2	3300	13721
D02-NF-R2	3400	12838
D02-NF-R2	3500	12087
D02-NF-R2	3600	11765
D02-NF-R2	3700	11143
D02-NF-R2	3800	10715
D02-NF-R2	3900	10025
D02-NF-R2	4000	9857
D02-NF-R2	4100	9312
D02-NF-R2	4200	9012
D02-NF-R2	4300	8635
D02-NF-R2	4400	8375
D02-NF-R2	4500	8108
D02-NF-R2	4600	7727
D02-NF-R2	4700	7552
D02-NF-R2	4800	7407
D02-NF-R2	4900	7069
D02-NF-R2	5000	6817
D02-NF-R2	5100	6525
D02-NF-R2	5200	6301
D02-NF-R2	5300	6182
D02-NF-R2	5400	6167
D02-NF-R2	5500	5854
D02-NF-R2	5600	5984
D02-NF-R2	5700	5820
D02-NF-R2	5800	5579
D02-NF-R2	5900	5345
D02-NF-R2	6000	5246
D02-NF-R2	6100	5162
D02-NF-R2	6200	4893
D02-NF-R2	6300	4866
D02-NF-R2	6400	4681
D02-NF-R2	6500	4633
D02-NF-R2	6600	4728
D02-NF-R2	6700	4447
D02-NF-R2	6800	4405
D02-NF-R2	6900	4212
D02-NF-R2	7000	4406
D02-NF-R2	7100	4191
D02-NF-R2	7200	4042
D02-NF-R2	7300	3971
D02-NF-R2	7400	3911
D02-NF-R2	7500	3813
D02-NF-R2	7600	3723
D02-NF-R2	7700	3563
D02-NF-R2	7800	3682
D02-NF-R2	7900	3487
D02-NF-R2	8000	3601
D02-NF-R2	8100	3508
D02-NF-R2	8200	3360
D02-NF-R2	8300	3460
D02-NF-R2	8400	3405
D02-NF-R2	8500	3240
D02-NF-R2	8600	3303
D02-NF-R2	8700	3218
D02-NF-R2	8800	3144
D02-NF-R2	8900	3187
D02-NF-R2	9000	3181
D02-NF-R2	9100	3078
D02-NF-R2	9200	2971
D02-NF-R2	9300	2882
D02-NF-R2	9400	2936
D02-NF-R2	9500	2878
D02-NF-R2	9600	2880
D02-NF-R2	9700	2890
D02-NF-R2	9800	2907
D02-NF-R2	9900	2699
D02-NF-R2	10000	2645
D02-NF-R2	10100	2709
D02-NF-R2	10200	2676
D02-NF-R2	10300	2619
D02-NF-R2	10400	2654
D02-NF-R2	10500	2503
D02-NF-R2	10600	2533
D02-NF-R2	10700	2492
D02-NF-R2	10800	2461
D02-NF-R2	10900	2478
D02-NF-R2	11000	2493
D02-NF-R2	11100	2398
D02-NF-R2	11200	2374
D02-NF-R2	11300	2360
D02-NF-R2	11400	2224
D02-NF-R2	11500	2304
D02-NF-R2	11600	2185
D02-NF-R2	11700	2291
D02-NF-R2	11800	2227
D02-NF-R2	11900	2248
D02-NF-R2	12000	2242
D02-NF-R2	12100	2211
D02-NF-R2	12200	2166
D02-NF-R2	12300	2223
D02-NF-R2	12400	2175
D02-NF-R2	12500	2067
D02-NF-R2	12600	2163
D02-NF-R2	12700	2156
D02-NF-R2	12800	2136
D02-NF-R2	12900	2053
D02-NF-R2	13000	2055
D02-NF-R2	13100	2029
D02-NF-R2	13200	1935
D02-NF-R2	13300	1972
D02-NF-R2	13400	2012
D02-NF-R2	13500	1952
D02-NF-R2	13600	1938
D02-NF-R2	13700	2004
D02-NF-R2	13800	1957
D02-NF-R2	13900	1916
D02-NF-R2	14000	1893
D02-NF-R2	14100	1901
D02-NF-R2	14200	1805
D02-NF-R2	14300	1898
D02-NF-R2	14400	1876
D02-NF-R2	14500	1798
D02-NF-R2	14600	1775
D02-NF-R2	14700	1798
D02-NF-R2	14800	1778
D02-NF-R2	14900	1791
D02-NF-R2	15000	1830
D02-NF-R2	15100	1763
D02-NF-R2	15200	1761
D02-NF-R2	15300	1731
D02-NF-R2	15400	1716
D02-NF-R2	15500	1715
D02-NF-R2	15600	1667
D02-NF-R2	15700	1646
D02-NF-R2	15800	1630
D02-NF-R2	15900	1685
D02-NF-R2	16000	1534
D02-NF-R2	16100	1562
D02-NF-R2	16200	1690
D02-NF-R2	16300	1579
D02-NF-R2	16400	1531
D02-NF-R2	16500	1568
D02-NF-R2	16600	1518
D02-NF-R2	16700	1504
D02-NF-R2	16800	1514
D02-NF-R2	16900	1418
D02-NF-R2	17000	1538
D02-NF-R2	17100	1513
D02-NF-R2	17200	1471
D02-NF-R2	17300	1461
D02-NF-R2	17400	1426
D02-NF-R2	17500	1494
D02-NF-R2	17600	1393
D02-NF-R2	17700	1386
D02-NF-R2	17800	1380
D02-NF-R2	17900	1399
D02-NF-R2	18000	1372
D02-NF-R2	18100	1427
D02-NF-R2	18200	1316
D02-NF-R2	18300	1345
D02-NF-R2	18400	1365
D02-NF-R2	18500	1306
D02-NF-R2	18600	1334
D02-NF-R2	18700	1327
D02-NF-R2	18800	1340
D02-NF-R2	18900	1313
D02-NF-R2	19000	1246
D02-NF-R2	19100	1256
D02-NF-R2	19200	1237
D02-NF-R2	19300	1214
D02-NF-R2	19400	1242
D02-NF-R2	19500	1234
D02-NF-R2	19600	1226
D02-NF-R2	19700	1249
D02-NF-R2	19800	1233
D02-NF-R2	19900	1234
D02-NF-R2	20000	1161
D02-NF-R2	20100	1170
D02-NF-R2	20200	1156
