Method	n	contigs_avg	contigs_se	length_avg	length_se	N50_avg	N50_se
Short	10	468644.1	40937.3683270351	470.3668735	38.8027032432586	11.02	1.4298699552368
Infinity	10	9925.5	930.526162388188	389.5902053	25.9386889329775	117.3288	7.83912575029186
Nanopore	10	8347.3	1112.12700164045	255.7464432	33.5105007202183	104.8938	13.8612000809614
