Method	n	num_seqs_avg	num_seqs_se	sum_len_avg	sum_len_se	avg_len_avg	avg_len_se	max_len_avg	max_len_se	N50_avg	N50_se	Q20_avg	Q20_se	Q30_avg	Q30_se	GC_avg	GC_se
infinity	10	4.1432867	0.116883659579187	18.102511478	0.533302238381954	4.36822805240004	0.0191696738220349	24.7903	0.576228582151987	5.6987	0.0354128193988812	93.416	0.357460798161452	90.523	0.472628700872989	48.225	0.374869606959836
nanopore	10	3.4642945	0.297696922967013	9.0347000911	1.12562224554309	2.63971937437985	0.312601996125102	112.3735	4.6539433775145	8.0276	1.1382760180788	82.952	0.279701428113782	49.906	0.307405631409417	46.781	0.407584892316244
shortread	10	95.7984022	16.0208199459037	14.022370952	2.3276692068419	0.146548866290698	0.000178377560674298	0.151	0	0.150466666666667	0.000113311544746506	97.6931157477178	0.0409021380838002	93.3430472532416	0.12553852502642	47.7599843622028	0.365728705746027
