Method	n	num_medquality_avg	num_medquality_se	num_highquality_avg	num_highquality_se	num_16S_avg	num_16S_se	num_singlecontig_avg	num_singlecontig_se	avg16S_avg	avg16S_se
Short	10	51.2	4.4392191505564	0.3	0.152752523165195	2.5	0.30731814857643	0	0	0.0510556450315754	0.00726070432109275
Infinity	10	35.6	3.88215289641084	33.2	1.57621205567159	75.7	4.07989651284877	0.6	0.163299316185545	2.76785573083423	0.098803138745446
Nanopore	10	27.2	2.95446930748804	16.4	3.09192496674806	56.1	7.55343924609475	1.5	0.453382350291181	3.34496871861925	0.102522282103597
